Date,Ticker,Dividend
1993-03-19 14:30:00,SPY,0.213
1993-06-18 13:30:00,SPY,0.318
1993-09-17 13:30:00,SPY,0.286
1993-12-17 14:30:00,SPY,0.317
1994-03-18 14:30:00,SPY,0.271
1994-06-17 13:30:00,SPY,0.305
1994-09-16 13:30:00,SPY,0.288
1994-12-16 14:30:00,SPY,0.363
1995-03-17 14:30:00,SPY,0.268
1995-06-16 13:30:00,SPY,0.316
1995-09-15 13:30:00,SPY,0.312
1995-12-15 14:30:00,SPY,0.382
1996-03-15 14:30:00,SPY,0.285
1996-06-21 13:30:00,SPY,0.351
1996-09-20 13:30:00,SPY,0.352
1996-12-20 14:30:00,SPY,0.367
1997-03-21 14:30:00,SPY,0.299
1997-06-20 13:30:00,SPY,0.35
1997-09-19 13:30:00,SPY,0.348
1997-12-19 14:30:00,SPY,0.38
1998-03-20 14:30:00,SPY,0.313
1998-06-19 13:30:00,SPY,0.352
1998-09-18 13:30:00,SPY,0.359
1998-12-18 14:30:00,SPY,0.392
1999-03-19 14:30:00,SPY,0.32
1999-06-18 13:30:00,SPY,0.405
1999-09-17 13:30:00,SPY,0.372
1999-12-17 14:30:00,SPY,0.348
2000-03-17 14:30:00,SPY,0.371
2000-06-16 13:30:00,SPY,0.348
2000-09-15 13:30:00,SPY,0.375
2000-12-15 14:30:00,SPY,0.411
2001-03-16 14:30:00,SPY,0.316
2001-06-15 13:30:00,SPY,0.346
2001-09-21 13:30:00,SPY,0.369
2001-12-21 14:30:00,SPY,0.393
2002-03-15 14:30:00,SPY,0.331
2002-06-21 13:30:00,SPY,0.353
2002-09-20 13:30:00,SPY,0.378
2002-12-20 14:30:00,SPY,0.436
2003-03-21 14:30:00,SPY,0.354
2003-06-20 13:30:00,SPY,0.36
2003-09-19 13:30:00,SPY,0.4
2003-12-19 14:30:00,SPY,0.516
2004-03-19 14:30:00,SPY,0.395
2004-06-18 13:30:00,SPY,0.414
2004-09-17 13:30:00,SPY,0.469
2004-11-15 14:30:00,SPY,0.351
2004-12-17 14:30:00,SPY,0.568
2005-03-18 14:30:00,SPY,0.467
2005-06-17 13:30:00,SPY,0.488
2005-09-16 13:30:00,SPY,0.522
2005-12-16 14:30:00,SPY,0.672
2006-03-17 14:30:00,SPY,0.519
2006-06-16 13:30:00,SPY,0.555
2006-09-15 13:30:00,SPY,0.579
2006-12-15 14:30:00,SPY,0.793
2007-03-16 13:30:00,SPY,0.551
2007-06-15 13:30:00,SPY,0.656
2007-09-21 13:30:00,SPY,0.719
2007-12-21 14:30:00,SPY,0.775
2008-03-20 13:30:00,SPY,0.642
2008-06-20 13:30:00,SPY,0.669
2008-09-19 13:30:00,SPY,0.691
2008-12-19 14:30:00,SPY,0.719
2009-03-20 13:30:00,SPY,0.561
2009-06-19 13:30:00,SPY,0.518
2009-09-18 13:30:00,SPY,0.508
2009-12-18 14:30:00,SPY,0.59
